Query,Clicks,Impressions,CTR,Position
"subaru outback serpentine belt replacement",0,1,0.00%,47.0
"subaru outback starter location",0,4,0.00%,50.3
"subaru outback starter replacement",0,2,0.00%,59.5
"subaru starter repair",0,3,0.00%,75.0
"subaru water pump location",0,1,0.00%,49.0
"suburban thermostat replacement",0,1,0.00%,77.0
"tacoma headlight bulb replacement",0,1,0.00%,40.0
"thermostat for 2001 ford f150",0,2,0.00%,65.0
"thermostat replacement jeep grand cherokee",0,1,0.00%,47.0
"toyota alternator repair",0,4,0.00%,51.8
"toyota camry alternator removal",0,1,0.00%,82.0
"toyota camry alternator repair",0,1,0.00%,73.0
"toyota camry battery positive negative",0,1,0.00%,57.0
"toyota corolla 2013 battery size",0,1,0.00%,72.0
"toyota corolla alternator location",0,1,0.00%,70.0
"toyota corolla alternator repair",0,2,0.00%,57.5
"toyota corolla alternator replacement",0,2,0.00%,38.5
"toyota corolla battery replacement",0,4,0.00%,90.0
"toyota corolla belt replacement",0,1,0.00%,55.0
"toyota corolla brake rotor replacement guidelines",0,1,0.00%,18.0
"toyota corolla drive belt replacement",0,1,0.00%,52.0
"toyota corolla headlight bulb replacement",0,1,0.00%,46.0
"toyota corolla serpentine belt replacement",0,1,0.00%,34.0
"toyota corolla water pump replacement",0,1,0.00%,75.0
"toyota highlander serpentine belt replacement",0,1,0.00%,77.0
"toyota prius battery repair",0,4,0.00%,76.5
"toyota prius brake pad replacement",0,1,0.00%,31.0
"toyota prius brake pads replacement",0,1,0.00%,59.0
"toyota prius water pump replacement",0,2,0.00%,44.0
"toyota sienna alternator replacement",0,1,0.00%,30.0
"toyota sienna battery location",0,2,0.00%,76.5
"toyota sienna battery replacement",0,2,0.00%,54.0
"toyota sienna serpentine belt replacement",0,1,0.00%,44.0
"toyota sienna spark plug replacement",0,1,0.00%,45.0
"toyota sienna water pump replacement",0,2,0.00%,40.0
"toyota tacoma belt replacement",0,1,0.00%,61.0
"toyota tacoma serpentine belt replacement",0,1,0.00%,54.0
"toyota tacoma thermostat replacement",0,1,0.00%,63.0
"toyota tacoma water pump replacement",0,1,0.00%,42.0
"toyota tundra alternator location",0,1,0.00%,73.0
"toyota tundra brake pad replacement",0,2,0.00%,61.5
"toyota tundra headlight bulb replacement",0,3,0.00%,35.0
"toyota tundra spark plug replacement",0,1,0.00%,43.0
"toyota tundra water pump replacement",0,2,0.00%,72.0
"tucson alternator exchange",0,1,0.00%,47.0
"tundra starter replacement",0,1,0.00%,44.0
"vehicle ac repair near me burton",0,5,0.00%,9.0
"where is battery in bmw x3",0,1,0.00%,83.0
"where is battery on bmw x3",0,1,0.00%,72.0
"where is battery on bmw x5",0,1,0.00%,69.0
"where is the battery in a bmw x3",0,1,0.00%,65.0
"where is the battery located on a prius",0,1,0.00%,84.0
"where is the battery on a bmw x5",0,2,0.00%,72.0
"where is the negative battery terminal on a honda pilot",0,1,0.00%,45.0
"where is the starter located?",0,1,0.00%,6.0
"where is the starter on a honda pilot",0,1,0.00%,21.0
"where is the starter on a subaru outback",0,1,0.00%,89.0
"x5 battery location",0,1,0.00%,44.0
"x5 battery replacement",0,2,0.00%,76.5
"x5 bmw battery location",0,1,0.00%,43.0
